keyword,growthRate,timeline.label,timeline.value,timeline.time
alfa romeo,0.651818881,"Jun 16, 2019",59,1560643200
alfa romeo,0.651818881,"Jun 23, 2019",59,1561248000
alfa romeo,0.651818881,"Jun 30, 2019",59,1561852800
alfa romeo,0.651818881,"Jul 7, 2019",60,1562457600
alfa romeo,0.651818881,"Jul 14, 2019",73,1563062400
alfa romeo,0.651818881,"Jul 21, 2019",70,1563667200
alfa romeo,0.651818881,"Jul 28, 2019",70,1564272000
alfa romeo,0.651818881,"Aug 4, 2019",60,1564876800
alfa romeo,0.651818881,"Aug 11, 2019",60,1565481600
alfa romeo,0.651818881,"Aug 18, 2019",57,1566086400
alfa romeo,0.651818881,"Aug 25, 2019",57,1566691200
alfa romeo,0.651818881,"Sep 1, 2019",56,1567296000
alfa romeo,0.651818881,"Sep 8, 2019",56,1567900800
alfa romeo,0.651818881,"Sep 15, 2019",59,1568505600
alfa romeo,0.651818881,"Sep 22, 2019",55,1569110400
alfa romeo,0.651818881,"Sep 29, 2019",56,1569715200
alfa romeo,0.651818881,"Oct 6, 2019",65,1570320000
alfa romeo,0.651818881,"Oct 13, 2019",53,1570924800
alfa romeo,0.651818881,"Oct 20, 2019",65,1571529600
alfa romeo,0.651818881,"Oct 27, 2019",63,1572134400
alfa romeo,0.651818881,"Nov 3, 2019",58,1572739200
alfa romeo,0.651818881,"Nov 10, 2019",55,1573344000
alfa romeo,0.651818881,"Nov 17, 2019",53,1573948800
alfa romeo,0.651818881,"Nov 24, 2019",52,1574553600
alfa romeo,0.651818881,"Dec 1, 2019",50,1575158400
alfa romeo,0.651818881,"Dec 8, 2019",47,1575763200
alfa romeo,0.651818881,"Dec 15, 2019",56,1576368000
alfa romeo,0.651818881,"Dec 22, 2019",63,1576972800
alfa romeo,0.651818881,"Dec 29, 2019",100,1577577600
alfa romeo,0.651818881,"Jan 5, 2020",71,1578182400
alfa romeo,0.651818881,"Jan 12, 2020",64,1578787200
alfa romeo,0.651818881,"Jan 19, 2020",63,1579392000
alfa romeo,0.651818881,"Jan 26, 2020",57,1579996800
alfa romeo,0.651818881,"Feb 2, 2020",58,1580601600
alfa romeo,0.651818881,"Feb 9, 2020",64,1581206400
alfa romeo,0.651818881,"Feb 16, 2020",88,1581811200
alfa romeo,0.651818881,"Feb 23, 2020",74,1582416000
alfa romeo,0.651818881,"Mar 1, 2020",74,1583020800
alfa romeo,0.651818881,"Mar 8, 2020",52,1583625600
alfa romeo,0.651818881,"Mar 15, 2020",38,1584230400
alfa romeo,0.651818881,"Mar 22, 2020",35,1584835200
alfa romeo,0.651818881,"Mar 29, 2020",34,1585440000
alfa romeo,0.651818881,"Apr 5, 2020",37,1586044800
alfa romeo,0.651818881,"Apr 12, 2020",41,1586649600
alfa romeo,0.651818881,"Apr 19, 2020",41,1587254400
alfa romeo,0.651818881,"Apr 26, 2020",44,1587859200
alfa romeo,0.651818881,"May 3, 2020",44,1588464000
alfa romeo,0.651818881,"May 10, 2020",45,1589068800
alfa romeo,0.651818881,"May 17, 2020",48,1589673600
alfa romeo,0.651818881,"May 24, 2020",51,1590278400
alfa romeo,0.651818881,"May 31, 2020",47,1590883200
alfa romeo,0.651818881,"Jun 7, 2020",55,1591488000
alfa romeo,0.651818881,"Jun 14, 2020",61,1592092800
alfa romeo,0.651818881,"Jun 21, 2020",60,1592697600
alfa romeo,0.651818881,"Jun 28, 2020",51,1593302400
alfa romeo,0.651818881,"Jul 5, 2020",62,1593907200
alfa romeo,0.651818881,"Jul 12, 2020",65,1594512000
alfa romeo,0.651818881,"Jul 19, 2020",62,1595116800
alfa romeo,0.651818881,"Jul 26, 2020",61,1595721600
alfa romeo,0.651818881,"Aug 2, 2020",60,1596326400
alfa romeo,0.651818881,"Aug 9, 2020",55,1596931200
alfa romeo,0.651818881,"Aug 16, 2020",63,1597536000
alfa romeo,0.651818881,"Aug 23, 2020",52,1598140800
alfa romeo,0.651818881,"Aug 30, 2020",51,1598745600
alfa romeo,0.651818881,"Sep 6, 2020",56,1599350400
alfa romeo,0.651818881,"Sep 13, 2020",60,1599955200
alfa romeo,0.651818881,"Sep 20, 2020",61,1600560000
alfa romeo,0.651818881,"Sep 27, 2020",52,1601164800
alfa romeo,0.651818881,"Oct 4, 2020",51,1601769600
alfa romeo,0.651818881,"Oct 11, 2020",49,1602374400
alfa romeo,0.651818881,"Oct 18, 2020",46,1602979200
alfa romeo,0.651818881,"Oct 25, 2020",46,1603584000
alfa romeo,0.651818881,"Nov 1, 2020",43,1604188800
alfa romeo,0.651818881,"Nov 8, 2020",45,1604793600
alfa romeo,0.651818881,"Nov 15, 2020",46,1605398400
alfa romeo,0.651818881,"Nov 22, 2020",45,1606003200
alfa romeo,0.651818881,"Nov 29, 2020",46,1606608000
alfa romeo,0.651818881,"Dec 6, 2020",41,1607212800
alfa romeo,0.651818881,"Dec 13, 2020",45,1607817600
alfa romeo,0.651818881,"Dec 20, 2020",54,1608422400
alfa romeo,0.651818881,"Dec 27, 2020",63,1609027200
alfa romeo,0.651818881,"Jan 3, 2021",59,1609632000
alfa romeo,0.651818881,"Jan 10, 2021",57,1610236800
alfa romeo,0.651818881,"Jan 17, 2021",62,1610841600
alfa romeo,0.651818881,"Jan 24, 2021",63,1611446400
alfa romeo,0.651818881,"Jan 31, 2021",56,1612051200
alfa romeo,0.651818881,"Feb 7, 2021",50,1612656000
alfa romeo,0.651818881,"Feb 14, 2021",52,1613260800
alfa romeo,0.651818881,"Feb 21, 2021",71,1613865600
alfa romeo,0.651818881,"Feb 28, 2021",56,1614470400
alfa romeo,0.651818881,"Mar 7, 2021",56,1615075200
alfa romeo,0.651818881,"Mar 14, 2021",52,1615680000
alfa romeo,0.651818881,"Mar 21, 2021",47,1616284800
alfa romeo,0.651818881,"Mar 28, 2021",52,1616889600
alfa romeo,0.651818881,"Apr 4, 2021",53,1617494400
alfa romeo,0.651818881,"Apr 11, 2021",58,1618099200
alfa romeo,0.651818881,"Apr 18, 2021",51,1618704000
alfa romeo,0.651818881,"Apr 25, 2021",50,1619308800
alfa romeo,0.651818881,"May 2, 2021",57,1619913600
alfa romeo,0.651818881,"May 9, 2021",55,1620518400
alfa romeo,0.651818881,"May 16, 2021",53,1621123200
alfa romeo,0.651818881,"May 23, 2021",54,1621728000
alfa romeo,0.651818881,"May 30, 2021",56,1622332800
alfa romeo,0.651818881,"Jun 6, 2021",47,1622937600
alfa romeo,0.651818881,"Jun 13, 2021",49,1623542400
alfa romeo,0.651818881,"Jun 20, 2021",49,1624147200
alfa romeo,0.651818881,"Jun 27, 2021",51,1624752000
alfa romeo,0.651818881,"Jul 4, 2021",52,1625356800
alfa romeo,0.651818881,"Jul 11, 2021",54,1625961600
alfa romeo,0.651818881,"Jul 18, 2021",55,1626566400
alfa romeo,0.651818881,"Jul 25, 2021",51,1627171200
alfa romeo,0.651818881,"Aug 1, 2021",51,1627776000
alfa romeo,0.651818881,"Aug 8, 2021",51,1628380800
alfa romeo,0.651818881,"Aug 15, 2021",54,1628985600
alfa romeo,0.651818881,"Aug 22, 2021",51,1629590400
alfa romeo,0.651818881,"Aug 29, 2021",46,1630195200
alfa romeo,0.651818881,"Sep 5, 2021",54,1630800000
alfa romeo,0.651818881,"Sep 12, 2021",48,1631404800
alfa romeo,0.651818881,"Sep 19, 2021",49,1632009600
alfa romeo,0.651818881,"Sep 26, 2021",48,1632614400
alfa romeo,0.651818881,"Oct 3, 2021",51,1633219200
alfa romeo,0.651818881,"Oct 10, 2021",50,1633824000
alfa romeo,0.651818881,"Oct 17, 2021",46,1634428800
alfa romeo,0.651818881,"Oct 24, 2021",50,1635033600
alfa romeo,0.651818881,"Oct 31, 2021",48,1635638400
alfa romeo,0.651818881,"Nov 7, 2021",48,1636243200
alfa romeo,0.651818881,"Nov 14, 2021",42,1636848000
alfa romeo,0.651818881,"Nov 21, 2021",43,1637452800
alfa romeo,0.651818881,"Nov 28, 2021",41,1638057600
alfa romeo,0.651818881,"Dec 5, 2021",44,1638662400
alfa romeo,0.651818881,"Dec 12, 2021",41,1639267200
alfa romeo,0.651818881,"Dec 19, 2021",46,1639872000
alfa romeo,0.651818881,"Dec 26, 2021",56,1640476800
alfa romeo,0.651818881,"Jan 2, 2022",50,1641081600
alfa romeo,0.651818881,"Jan 9, 2022",49,1641686400
alfa romeo,0.651818881,"Jan 16, 2022",49,1642291200
alfa romeo,0.651818881,"Jan 23, 2022",54,1642896000
alfa romeo,0.651818881,"Jan 30, 2022",51,1643500800
alfa romeo,0.651818881,"Feb 6, 2022",66,1644105600
alfa romeo,0.651818881,"Feb 13, 2022",67,1644710400
alfa romeo,0.651818881,"Feb 20, 2022",52,1645315200
alfa romeo,0.651818881,"Feb 27, 2022",47,1645920000
alfa romeo,0.651818881,"Mar 6, 2022",46,1646524800
alfa romeo,0.651818881,"Mar 13, 2022",58,1647129600
alfa romeo,0.651818881,"Mar 20, 2022",54,1647734400
alfa romeo,0.651818881,"Mar 27, 2022",58,1648339200
alfa romeo,0.651818881,"Apr 3, 2022",52,1648944000
alfa romeo,0.651818881,"Apr 10, 2022",56,1649548800
alfa romeo,0.651818881,"Apr 17, 2022",57,1650153600
alfa romeo,0.651818881,"Apr 24, 2022",55,1650758400
alfa romeo,0.651818881,"May 1, 2022",58,1651363200
alfa romeo,0.651818881,"May 8, 2022",52,1651968000
alfa romeo,0.651818881,"May 15, 2022",52,1652572800
alfa romeo,0.651818881,"May 22, 2022",56,1653177600
alfa romeo,0.651818881,"May 29, 2022",54,1653782400
